fecha_inicio,fecha_fin,dias_entre_fechas,dias_evaluados,dias_no_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad_2,Absoluto_Ticks_totales,Margen_Utilidad,dias_con_entrada,pct_entrada
44938,45626,689,366,323,11:00,24,6,35,285,1,5,1.00E-05,249,114,3,3990,855,3135,366.67,3135,366.67,117,31.96721311
44938,45626,689,366,323,1:00,18,6,35,360,0,5,1.00E-05,224,139,3,4865,1080,3785,350.46,3785,350.46,142,38.79781421
44938,45626,689,366,323,1:00,18,12,35,360,0,5,1.00E-05,162,199,5,6965,1800,5165,286.94,5165,286.94,204,55.73770492
44938,45626,689,366,323,1:00,18,18,35,360,0,5,1.00E-05,138,221,7,7735,2520,5215,206.94,5215,206.94,228,62.29508197
44938,45626,689,366,323,16:00,0,6,260,60,1,5,1.00E-05,178,15,173,3900,10380,-6480,166.15,6480,166.15,188,51.36612022
44938,45626,689,366,323,16:00,0,24,260,60,1,5,1.00E-05,144,21,201,5460,12060,-6600,120.88,6600,120.88,222,60.6557377
44938,45626,689,366,323,16:00,0,3,235,85,1,5,1.00E-05,191,25,150,5875,12750,-6875,117.02,6875,117.02,175,47.81420765
44938,45626,689,366,323,16:00,0,3,260,85,1,5,1.00E-05,191,23,152,5980,12920,-6940,116.05,6940,116.05,175,47.81420765
44938,45626,689,366,323,20:00,12,6,260,210,0,5,1.00E-05,246,33,87,8580,18270,-9690,112.94,9690,112.94,120,32.78688525
44938,45626,689,366,323,20:00,12,3,260,210,1,5,1.00E-05,240,35,91,9100,19110,-10010,110,10010,110,126,34.42622951
44938,45626,689,366,323,20:00,12,3,285,210,1,5,1.00E-05,240,33,93,9405,19530,-10125,107.66,10125,107.66,126,34.42622951
44938,45626,689,366,323,20:00,12,12,260,185,0,5,1.00E-05,200,46,120,11960,22200,-10240,85.62,10240,85.62,166,45.35519126
44938,45626,689,366,323,15:00,0,3,310,160,0,5,1.00E-05,181,41,144,12710,23040,-10330,81.27,10330,81.27,185,50.54644809
44938,45626,689,366,323,20:00,12,12,260,210,0,5,1.00E-05,200,52,114,13520,23940,-10420,77.07,10420,77.07,166,45.35519126
44938,45626,689,366,323,15:00,0,3,310,335,0,5,1.00E-05,181,74,111,22940,37185,-14245,62.1,14245,62.1,185,50.54644809
44938,45626,689,366,323,23:00,0,1,360,285,1,5,1.00E-05,162,114,90,41040,25650,15390,60,15390,60,204,55.73770492
44938,45626,689,366,323,22:00,18,24,360,335,1,5,1.00E-05,123,142,101,51120,33835,17285,51.09,17285,51.09,243,66.39344262
